,signal,base
0,0.9837398529052734,0.943089430894309
1,0.9918699264526367,0.975609756097561
2,0.9918699264526367,0.959349593495935
3,0.9837398529052734,0.9512195121951219
4,0.9918699264526367,0.9512195121951219
5,1.0,0.943089430894309
6,0.9918699264526367,0.983739837398374
7,1.0,0.959349593495935
8,0.9837398529052734,0.967479674796748
9,0.9674796462059021,0.943089430894309
10,1.0,0.9512195121951219
11,0.9837398529052734,0.967479674796748
12,0.9674796462059021,0.9512195121951219
13,0.9837398529052734,0.943089430894309
14,0.9918699264526367,0.959349593495935
15,1.0,0.9512195121951219
16,1.0,0.959349593495935
17,0.9756097793579102,0.943089430894309
18,0.9918699264526367,0.9349593495934959
19,1.0,0.967479674796748
20,0.9918699264526367,0.975609756097561
21,0.9837398529052734,0.967479674796748
22,0.9918699264526367,0.943089430894309
23,1.0,0.9512195121951219
24,1.0,0.967479674796748
25,0.9837398529052734,0.926829268292683
26,0.9837398529052734,0.9512195121951219
27,0.9837398529052734,0.983739837398374
28,0.9837398529052734,0.959349593495935
29,0.9837398529052734,0.975609756097561
